"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","OH","ChIJv8CSrRiEQIgRg69DHyGhG0U","Ben & Jerry's","1934 Brown St, Dayton, OH 45409, USA","39.7334817","-84.1801543"
"Ben and Jerry's","OK","ChIJR_vFybYyTIYRarGSvubbYbU","Ben & Jerry's","4061 Barton Creek Suite 120, Highland Village, TX 75077, USA","33.0745941","-97.0853582"
"Ben and Jerry's","OK","ChIJt0Ed860jTIYR7F_Zz2LWN5Y","Ben & Jerry's","1501 Preston Rd Suite 400, Plano, TX 75093, USA","33.0187644","-96.7963664"
"Ben and Jerry's","OK","ChIJLZsI1hOZToYRMCJgTFgo5qw","Ben & Jerry's","2333 S International Pkwy, Dallas, TX 75261, USA","32.898316","-97.044102"
"Ben and Jerry's","PA","ChIJb3sAhPkbxYkRUnKfFqPvY9Y","Ben & Jerry's","1280 PA-315 Suite 1237, Wilkes-Barre, PA 18702, USA","41.2696916","-75.8228121"
"Ben and Jerry's","RI","ChIJucPCxyWN5YkRj-JNSXC52ZY","Ben & Jerry's","224 Water St, New Shoreham, RI 02807, USA","41.172614","-71.558069"
"Ben and Jerry's","SC","ChIJ3VW8dBJ6_ogROnq-_8txTvo","Ben & Jerry's","96 N Market St, Charleston, SC 29401, USA","32.7810463","-79.9307165"
"Ben and Jerry's","SC","ChIJO2ZFoqhz_ogRbOTaVf4oYK0","Ben & Jerry's","1109 Ocean Blvd, Isle of Palms, SC 29451, USA","32.7858956","-79.78843669999999"
"Ben and Jerry's","SC","ChIJO3iS5fCI-4gRIn395nE4JnM","Ben & Jerry's","6 Promenade St Unit 1003, Bluffton, SC 29910, USA","32.2379072","-80.8616983"
"Ben and Jerry's","SC","ChIJp5_9iu1kAIkRrWIYM3F5wTU","Ben & Jerry's","10835 King Road South, Suite 701, Myrtle Beach, SC 29572, United States","33.784238","-78.775886"
"Ben and Jerry's","SC","ChIJdSWa-sFpAIkRJpX_uR1BqnE","Ben & Jerry's","2005-C Ocean Blvd, Myrtle Beach, SC 29577, USA","33.7006956","-78.8710141"
"Ben and Jerry's","SC","ChIJKUQfA8cr_IgRBpG1E_GwqI0","Ben & Jerry's","624 Freshfields Dr U-109, Kiawah Island, SC 29455, USA","32.606476","-80.1487458"
"Ben and Jerry's","SD","ChIJ0Ya7mFVT2YAR868mpmf_D9Q","Ben & Jerry's","859 A W Harbor Dr, San Diego, CA 92101, USA","32.7090942","-117.1715235"
"Ben and Jerry's","TN","ChIJD6mAnNtVWYgRcTNnjJuzIy8","Ben & Jerry's","638 Parkway, Gatlinburg, TN 37738, USA","35.7126099","-83.51471599999999"
"Ben and Jerry's","TN","ChIJEVKnoJdmZIgRB092CXCIjPQ","Ben & Jerry's","416-A 21st Ave S, Nashville, TN 37203, USA","36.1461565","-86.7993561"
"Ben and Jerry's","TN","ChIJ3dS0_qFmZIgRIKaqpibT5V4","Ben & Jerry's","2200 Children's Way, Food Court 2nd Floor, Nashville, TN 37232, United States","36.139374","-86.8024157"
"Ben and Jerry's","TN","ChIJZUvTprX4W4gRu8xJnrObT_E","Ben & Jerry's","1645 Parkway Suite 1440, Sevierville, TN 37862, USA","35.8329103","-83.5698116"
"Ben and Jerry's","TX","ChIJt0Ed860jTIYR7F_Zz2LWN5Y","Ben & Jerry's","1501 Preston Rd Suite 400, Plano, TX 75093, USA","33.0187644","-96.7963664"
"Ben and Jerry's","TX","ChIJ0dahTqtYXIYRKm6I5Z6bS3Q","Ben & Jerry's","111 W Crockett St Suite 207, San Antonio, TX 78205, USA","29.4253835","-98.4889211"
"Ben and Jerry's","TX","ChIJR_vFybYyTIYRarGSvubbYbU","Ben & Jerry's","4061 Barton Creek Suite 120, Highland Village, TX 75077, USA","33.0745941","-97.0853582"
"Ben and Jerry's","TX","ChIJ9V2gRXenZYYR-M3AU_ZaAx8","Ben & Jerry's","3300 W Expy 83 Building 1200, Unit 1210, McAllen, TX 78501, USA","26.1962565","-98.25957509999999"
"Ben and Jerry's","TX","ChIJkTupiYKeP4YRYqEYNdImJJM","Ben & Jerry's","4408 Seawall Blvd, Galveston, TX 77550, USA","29.276318","-94.8098002"
"Ben and Jerry's","TX","ChIJBVZjEF_AQIYRDPmYNP8stIk","Ben & Jerry's","5515 Kirby Dr, Houston, TX 77005, USA","29.7225017","-95.41828679999999"
"Ben and Jerry's","UT","ChIJwxyQGAD1UocR65fmaBOYx6w","Ben & Jerry's","7 S Rio Grande St, Salt Lake City, UT 84101, USA","40.76897460000001","-111.9036808"
"Ben and Jerry's","VT","ChIJqdfmQEyNtUwRL9NARyIKJwI","Ben & Jerry's","24 Morse Dr, Jeffersonville, VT 05464, USA","44.5886887","-72.78762809999999"
"Ben and Jerry's","VA","ChIJT1mEn3HpuokRxl0GvlNWCCI","Ben & Jerry's","2510 Atlantic Ave, Virginia Beach, VA 23451, USA","36.854054","-75.9769558"
"Ben and Jerry's","VA","ChIJDdp-LJnpuokRyHoyQtCd9Ig","Ben & Jerry's","1116 Atlantic Ave, Virginia Beach, VA 23451, USA","36.840171","-75.9731305"
"Ben and Jerry's","VA","ChIJWSyHuWpPtokRzulfiwRSdwc","Ben & Jerry's","4205 Fairfax Corner E Ave, Fairfax, VA 22033, USA","38.8586038","-77.3559916"
"Ben and Jerry's","VA","ChIJ_6IKe7aHs4kRDe6xqIYM7Pc","Ben & Jerry's","1112 Emmet St N, Charlottesville, VA 22903, USA","38.0513628","-78.5011473"
